source,system_time,msg_time,x,y,theta,v,omega,ax
odom,1775706385.575416,1775118113.8622668,-5.452648819153884e-18,5.403965601888435e-18,0.0033369679037287265,6.97592572232235e-18,-0.010574993444002565,0.0
mag_raw,1775706385.5755002,1775118114.1772668,0.0,0.0,0.029151146598467875,0.0,0.0,0.0
ekf_slam,1775706385.5756087,1775118113.8732283,-1.0865394041552695e-11,2.039627472780764e-12,0.015755882737480416,0.0,0.0,0.0
odom,1775706385.5759475,1775118113.8732667,-6.086176337414506e-18,4.996535949818571e-18,0.0033434769640043865,5.421841764557602e-19,-0.011594433900819372,0.0
odom,1775706385.576233,1775118113.8902667,-7.312822163685879e-18,5.6927106900767924e-18,0.0030491152593854487,-3.1305644473072086e-18,-0.011587780830478565,0.0
odom,1775706385.5764766,1775118113.9212668,-6.993315422874153e-18,7.333033796806007e-18,0.002642056515888669,-1.4065384731819935e-20,-0.010565052774564989,0.0
odom,1775706385.5767379,1775118113.9432669,-7.520263334075897e-18,6.2134975580141e-18,0.0026931969462986576,-1.7028296619196971e-18,-0.008965954999370293,0.0
odom,1775706385.588087,1775118113.9592667,-7.264338837220175e-18,6.004089976794882e-18,0.0028168703536342043,-2.674590104619051e-18,-0.007552358491594277,0.0
odom,1775706385.6081893,1775118113.9712667,-6.964439168096738e-18,5.9898777946188615e-18,0.002797125380145538,-6.707858830314732e-18,-0.006056997459256259,0.0
odom,1775706385.6302314,1775118113.9882667,-7.415851816509024e-18,5.905372567993067e-18,0.002780545635632679,-2.0698174033205708e-18,-0.00405311541099786,0.0
odom,1775706385.64842,1775118114.0242667,-8.278210652682624e-18,6.6101345824771996e-18,0.0028518893927120797,2.337248813364709e-18,-0.00011716569139549621,0.0
odom,1775706385.6724446,1775118114.0622668,-7.63907386266756e-18,7.587323491999767e-18,0.0031789823856347432,-3.4078878296211425e-19,0.004876669344464268,0.0
ekf_slam,1775706385.6745062,1775118114.0206783,-1.1243029898589424e-11,-2.0444108721806077e-13,0.015754456003306938,0.0,0.0,0.0
odom,1775706385.693052,1775118114.0802667,-7.77115931834277e-18,8.162984463668043e-18,0.003447249061651723,1.5852104950368191e-18,0.008655193043580508,0.0
odom,1775706385.7091143,1775118114.0912669,-9.889332893288705e-18,8.56232548403743e-18,0.0036428226634162026,4.4180957472571e-18,0.011310244477226068,0.0
odom,1775706385.7804625,1775118114.1082668,-9.78804867913481e-18,7.834659725285263e-18,0.004031541019065887,-9.050881804008785e-19,0.012345215973037595,0.0
enc,1775706385.7872856,1775118114.2422667,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.7875047,1775118114.1612668,-1.0672599233062644e-17,6.978023704666227e-18,0.004833403102030507,1.306016167667215e-18,0.01204605574610235,0.0
imu_raw,1775706385.7876506,1775118114.2062669,0.0,0.0,0.014051540707375907,0.0,0.0021305938926289613,-0.1723877803888058
mag_raw,1775706385.7877605,1775118114.2802668,0.0,0.0,0.052256181582332195,0.0,0.0,0.0
enc,1775706385.7897563,1775118114.2982666,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.7899249,1775118114.1772668,-1.1262867810522156e-17,6.292659275493631e-18,0.0051251319819685115,-2.6545680372829307e-18,0.010447565118765259,0.0
imu_raw,1775706385.790634,1775118114.3092668,0.0,0.0,0.015313384028981546,0.0,0.012250914882616527,-0.21069617603076263
mag_raw,1775706385.7907085,1775118114.3182669,0.0,0.0,0.002048125815580004,0.0,0.0,0.0
enc,1775706385.7966354,1775118114.3262668,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.796829,1775118114.1892667,-1.1307203344119406e-17,5.697098771653367e-18,0.0054721325985611635,-4.93759753027121e-18,0.007851380135438367,0.0
imu_raw,1775706385.796952,1775118114.3862667,0.0,0.0,0.010842871041418515,0.0,-0.058058683574139194,0.04309694509720145
mag_raw,1775706385.7970562,1775118114.3572667,0.0,0.0,0.01350649457469072,0.0,0.0,0.0
ekf_slam,1775706385.7971861,1775118114.1557727,-1.3938687467771648e-11,2.6128947871284058e-12,0.017726925314771155,0.0,0.0,0.0
enc,1775706385.7975895,1775118114.3792667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706385.7976832,1775118114.4242668,0.0,0.0,0.008920004648486364,0.0,-0.05060160494993783,0.37829540696432384
mag_raw,1775706385.7977734,1775118114.3952668,0.0,0.0,0.0048212568715216295,0.0,0.0,0.0
enc,1775706385.798004,1775118114.4072669,0.0,0.0,0.0,0.0,0.0,0.0
enc,1775706385.7982745,1775118114.4602668,0.0,0.0,0.0,0.0,0.0,0.0
odom,1775706385.8087006,1775118114.2062669,-1.1069366801295674e-17,7.637159818878768e-18,0.005778687664612646,-2.7743906889402646e-18,0.003975396940472569,0.0
odom,1775706385.8291228,1775118114.2422667,-1.0853455519309157e-17,7.304833348783606e-18,0.006148517893706629,-3.251721405552613e-18,0.0026846604255450967,0.0
odom,1775706385.8513288,1775118114.2802668,-1.035978553022642e-17,6.615872021754152e-18,0.006533835968129953,-6.98232236887782e-18,0.0025707934938279916,0.0
odom,1775706385.8689659,1775118114.2982666,-1.0798755353768306e-17,7.250721341436701e-18,0.006550684446554376,1.277918452106523e-18,0.0024786367314454712,0.0
ekf_slam,1775706385.8694823,1775118114.3031359,-1.0301388891664052e-11,3.2867672410227984e-12,0.0194336335098515,0.0,0.0,0.0
odom,1775706385.8887675,1775118114.3092668,-1.123361550146958e-17,6.248266086291006e-18,0.006556184668311538,7.786554796398281e-19,0.002568377879811133,0.0
odom,1775706385.9101918,1775118114.3262668,-1.2435233684171704e-17,4.970603690826082e-18,0.0065880349984963615,-1.2390255725569247e-18,0.0008109436745015867,0.0
odom,1775706385.9927628,1775118114.3572667,-1.2307165743463848e-17,6.366344663835196e-18,0.006469625796686973,2.8334382718634087e-18,-0.00331822685113152,0.0
odom,1775706385.9932132,1775118114.3792667,-1.31438742823472e-17,4.334220989246803e-18,0.006155445423269958,3.4253364908057958e-18,-0.008369535713178982,0.0
odom,1775706385.9936993,1775118114.3952668,-1.2906044209540108e-17,4.7606712125519225e-18,0.005928244780105449,3.752816808981206e-18,-0.010472467321191557,0.0
odom,1775706385.9942071,1775118114.4072669,-1.137914385906065e-17,3.829204087054676e-18,0.005758651573133378,2.186258915971422e-18,-0.011160196858570075,0.0
odom,1775706386.0083976,1775118114.4242668,-1.0621700986881652e-17,2.7698530020270186e-18,0.005545869857483066,-5.648448417601208e-18,-0.011084020404990765,0.0
odom,1775706386.0312643,1775118114.4602668,-9.203110269281384e-18,2.4429972978757305e-18,0.005121588087900086,-3.1718325792859258e-18,-0.011057077327887495,0.0
odom,1775706386.048648,1775118114.4799693,-9.428079157309644e-18,2.7456244362115615e-18,0.004878230400453543,-3.4961492512557414e-18,-0.011041701617679664,0.0
enc,1775706386.069136,1775118114.5152667,0.0,0.0,0.0,0.0,0.0,0.0
imu_raw,1775706386.0692916,1775118114.5272667,0.0,0.0,0.007274122055087706,0.0,-0.015979454194717208,0.0814053407391583
mag_raw,1775706386.069387,1775118114.4982667,0.0,0.0,0.058284245727227485,0.0,0.0,0.0
enc,1775706386.069781,1775118114.5432668,0.0,0.0,0.0,0.0,0.0,0.0
